,node, cf,filename,symptom
0,db_rt[2],10.149404438725561,Wang/CaseA/Wang:DBCI_odr_qt[2].csv,odr_qt[2]
1,db_rt[2],10.149404438725561,Wang/CaseA/Wang:DBCI_odr_qt[2].csv,odr_qt[2]
2,db_rt[2],10.896070571908405,Wang/CaseA/Wang:DBCI_db_rt[3].csv,db_rt[3]
3,db_rt[2],10.896070571908405,Wang/CaseA/Wang:DBCI_db_rt[3].csv,db_rt[3]
4,odr_qt[2],13.229313888313198,Wang/CaseA/Wang:DBCI_db_rt[3].csv,db_rt[3]
5,db_rt[2],10.896070571908405,Wang/CaseA/Wang:DBCI_es_rt[2].csv,es_rt[2]
6,db_rt[2],10.896070571908405,Wang/CaseA/Wang:DBCI_es_rt[2].csv,es_rt[2]
7,odr_qt[2],13.229313888313198,Wang/CaseA/Wang:DBCI_es_rt[2].csv,es_rt[2]
8,db_rt[2],10.896070571908405,Wang/CaseA/Wang:DBCI_wcs_rt[2].csv,wcs_rt[2]
9,db_rt[2],10.896070571908405,Wang/CaseA/Wang:DBCI_wcs_rt[2].csv,wcs_rt[2]
10,odr_qt[2],13.229313888313198,Wang/CaseA/Wang:DBCI_wcs_rt[2].csv,wcs_rt[2]
11,db_rt[2],10.896070571908405,Wang/CaseA/Wang:DBCI_login_rt[2].csv,login_rt[2]
12,db_rt[2],10.896070571908405,Wang/CaseA/Wang:DBCI_login_rt[2].csv,login_rt[2]
13,odr_qt[2],13.229313888313198,Wang/CaseA/Wang:DBCI_login_rt[2].csv,login_rt[2]
14,db_rt[2],10.896070571908405,Wang/CaseA/Wang:DBCI_solr_rt[2].csv,solr_rt[2]
15,db_rt[2],10.896070571908405,Wang/CaseA/Wang:DBCI_solr_rt[2].csv,solr_rt[2]
16,odr_qt[2],13.229313888313198,Wang/CaseA/Wang:DBCI_solr_rt[2].csv,solr_rt[2]
