,node, cf,filename,symptom
0,db_rt[1],0.667,Mori/CaseB/Mori:DBCI_solr_rt[1].csv,solr_rt[1]
1,es_rt[1],0.5550000000000004,Mori/CaseB/Mori:DBCI_solr_rt[1].csv,solr_rt[1]
2,odr_qt[1],0.5,Mori/CaseB/Mori:DBCI_solr_rt[1].csv,solr_rt[1]
3,login_rt[1],0.4940000000000003,Mori/CaseB/Mori:DBCI_solr_rt[1].csv,solr_rt[1]
4,solr_rt[1],0.24699999999999994,Mori/CaseB/Mori:DBCI_solr_rt[1].csv,solr_rt[1]
5,db_rt[1],0.667,Mori/CaseB/Mori:DBCI_odr_qt[1].csv,odr_qt[1]
6,odr_qt[1],0.5,Mori/CaseB/Mori:DBCI_odr_qt[1].csv,odr_qt[1]
7,db_rt[1],0.667,Mori/CaseB/Mori:DBCI_es_rt[1].csv,es_rt[1]
8,es_rt[1],0.5550000000000004,Mori/CaseB/Mori:DBCI_es_rt[1].csv,es_rt[1]
9,odr_qt[1],0.5,Mori/CaseB/Mori:DBCI_es_rt[1].csv,es_rt[1]
10,login_rt[1],0.4940000000000003,Mori/CaseB/Mori:DBCI_es_rt[1].csv,es_rt[1]
11,db_rt[1],0.667,Mori/CaseB/Mori:DBCI_wcs_rt[1].csv,wcs_rt[1]
12,odr_qt[1],0.5,Mori/CaseB/Mori:DBCI_wcs_rt[1].csv,wcs_rt[1]
13,wcs_rt[1],0.4840000000000002,Mori/CaseB/Mori:DBCI_wcs_rt[1].csv,wcs_rt[1]
14,db_rt[1],0.66701,Mori/CaseB/Mori:DBCI_db_rt[1].csv,db_rt[1]
15,odr_qt[1],0.5,Mori/CaseB/Mori:DBCI_login_rt[1].csv,login_rt[1]
16,login_rt[1],0.4940000000000003,Mori/CaseB/Mori:DBCI_login_rt[1].csv,login_rt[1]
17,db_rt[1],0.667,Mori/CaseB/Mori:DBCI_login_rt[1].csv,login_rt[1]
