,node, cf,filename,symptom
0,db_rt[1],6.535642403657486,Proposed/CaseB/Proposed:DBCI_odr_qt[1].csv,odr_qt[1]
1,odr_qt[1],6.488639718655338,Proposed/CaseB/Proposed:DBCI_odr_qt[1].csv,odr_qt[1]
2,db_rt[1],6.535642403657486,Proposed/CaseB/Proposed:DBCI_login_rt[1].csv,login_rt[1]
3,odr_qt[1],5.983819679769945,Proposed/CaseB/Proposed:DBCI_login_rt[1].csv,login_rt[1]
4,login_rt[1],5.158346711333811,Proposed/CaseB/Proposed:DBCI_login_rt[1].csv,login_rt[1]
5,db_rt[1],6.535642403657486,Proposed/CaseB/Proposed:DBCI_wcs_rt[1].csv,wcs_rt[1]
6,wcs_rt[1],3.012249444750588,Proposed/CaseB/Proposed:DBCI_wcs_rt[1].csv,wcs_rt[1]
7,odr_qt[1],6.488639718655338,Proposed/CaseB/Proposed:DBCI_wcs_rt[1].csv,wcs_rt[1]
8,db_rt[1],6.535642403657486,Proposed/CaseB/Proposed:DBCI_solr_rt[1].csv,solr_rt[1]
9,odr_qt[1],5.983819679769945,Proposed/CaseB/Proposed:DBCI_solr_rt[1].csv,solr_rt[1]
10,es_rt[1],5.180697062619141,Proposed/CaseB/Proposed:DBCI_solr_rt[1].csv,solr_rt[1]
11,login_rt[1],5.158346711333811,Proposed/CaseB/Proposed:DBCI_solr_rt[1].csv,solr_rt[1]
12,solr_rt[1],2.0499473251538203,Proposed/CaseB/Proposed:DBCI_solr_rt[1].csv,solr_rt[1]
13,db_rt[1],6.535642403657486,Proposed/CaseB/Proposed:DBCI_es_rt[1].csv,es_rt[1]
14,odr_qt[1],5.983819679769945,Proposed/CaseB/Proposed:DBCI_es_rt[1].csv,es_rt[1]
15,es_rt[1],5.180697062619141,Proposed/CaseB/Proposed:DBCI_es_rt[1].csv,es_rt[1]
16,login_rt[1],5.158346711333811,Proposed/CaseB/Proposed:DBCI_es_rt[1].csv,es_rt[1]
17,db_rt[1],6.535652403657487,Proposed/CaseB/Proposed:DBCI_db_rt[1].csv,db_rt[1]
